property_name,city,state,unit_type,url,match_status
Cabin On Toroda Creek,Wauconda,WA,A Frame,https://www.hipcamp.com/en-GB/land/washington-cabin-on-toroda-creek-kk9hrvlv,net_new_candidate
Tiny A-Frame on Cascade River,Marblemount,WA,A Frame,https://www.hipcamp.com/en-US/land/washington-tiny-a-frame-on-cascade-river-mxvhxnee,net_new_candidate
Mountain View Camping,Templeton,PA,A Frame,https://www.hipcamp.com/en-GB/land/pennsylvania-mountain-view-camping-4-kk9hnx2l,net_new_candidate
The Charmadillo: Glamping Resort,Center Point,TX,A Frame,https://www.hipcamp.com/en-GB/land/texas-the-charmadillo-glamping-resort-wz6hreyv,net_new_candidate
Arnold Cabin,Arnold,CA,A Frame,https://www.hipcamp.com/en-US/land/california-arnold-cabin-7rvhmooy,net_new_candidate
Crystal Ranch,Golden,CO,A Frame,https://www.hipcamp.com/en-GB/land/colorado-crystal-ranch-v1qh97yx,already_in_sage_name_state
Piney Hills Campground,Mauk,GA,A Frame,https://www.hipcamp.com/en-GB/land/georgia-piney-hills-campground-lz9ho5ww,already_in_sage_name_state
Trace Space KY,Wellington,KY,A Frame,https://www.hipcamp.com/en-GB/land/kentucky-trace-space-ky-1-9mxh1dn9,net_new_candidate
Ellea Pine Camps,Malone,NY,A Frame,https://www.hipcamp.com/en-GB/land/new-york-ellea-pine-camps-gzwjhk86,net_new_candidate
The Farm at Heirloomista,North Branch,MN,A Frame,https://www.hipcamp.com/en-US/land/minnesota-the-farm-at-heirloomista-3qeohwo5,net_new_candidate
Pine Brook Retreat,Hooksett,NH,A Frame,https://www.hipcamp.com/en-US/land/new-hampshire-pine-brook-retreat-88lhlp1e,net_new_candidate
JCO Campground at Lee Baysden Pond,Chinquapin,NC,A Frame,https://www.hipcamp.com/en-GB/land/north-carolina-jco-campground-at-lee-baysden-pond-5x5h7rov,net_new_candidate
Sunflower Ranch Camping,Ellsworth,ME,A Frame,https://www.hipcamp.com/en-GB/land/maine-sunflower-ranch-camping-qeoh6125,net_new_candidate
Lake Hartwell A-Frame Cabin,Fair Play,SC,A Frame,https://www.hipcamp.com/en-US/land/south-carolina-lake-hartwell-a-frame-cabin-y0zh6pd7,net_new_candidate
Happy Hollow Homestead,Marengo,IN,A Frame,https://www.hipcamp.com/en-GB/land/indiana-happy-hollow-homestead-3pw1hmxd,already_in_sage_name_state
Tranquil Acres,Quilcene,WA,A Frame,https://www.hipcamp.com/en-GB/land/washington-it-s-a-king-thing-6p0h2v1q,net_new_candidate
Cedar Bloom,Cave Junction,OR,A Frame,https://www.hipcamp.com/en-GB/land/oregon-cedar-bloom-3ex9h798,net_new_candidate
Bear Woods Resort,Bear Lake,MI,A Frame,https://www.hipcamp.com/en-GB/land/michigan-bear-woods-resort-6p0hq505,net_new_candidate
Tiny A-Frame W/ Heat/AC & Hot Tub,Newfoundland,PA,A Frame,https://www.hipcamp.com/en-GB/land/pennsylvania-cozy-tiny-a-frame-cabin-w-electric-j29hwpk2,net_new_candidate
Solstice Farms,Loomis,CA,A Frame,https://www.hipcamp.com/en-GB/land/california-solstice-farms-06yh9z61,already_in_sage_name_state
The Magnolia,Columbus,TX,A Frame,https://www.hipcamp.com/en-GB/land/texas-the-magnolia-9mxhww61,net_new_candidate
The Ridge at Stanley Gap,Blue Ridge,GA,A Frame,https://www.hipcamp.com/en-GB/land/georgia-the-ridge-at-stanley-gap-9mxhzddj,already_in_sage_name_state
Meadow Hot Springs Glamping Cabin,Alma,CO,A Frame,https://www.hipcamp.com/en-GB/land/colorado-meadow-hot-springs-glamping-cabin-pw1he1em,net_new_candidate
22 West Cabins & Recreation,Walden,CO,A Frame,https://www.hipcamp.com/en-GB/land/colorado-22-west-cabins-recreation-r57h2qpy,already_in_sage_name_state
The EH frame,Fountain Run,KY,A Frame,https://www.hipcamp.com/en-GB/land/kentucky-the-eh-frame-2-6p0hq608,net_new_candidate
South Fork River Cabin,Carlton,GA,A Frame,https://www.hipcamp.com/en-GB/land/georgia-south-fork-river-cabin-nelhrr1q,net_new_candidate
The Hulett Motel,Hulett,WY,A Frame,https://www.hipcamp.com/en-US/land/wyoming-the-hulett-motel-2ejh8rqd,net_new_candidate
Sacred Nature Sanctuary,Captain Cook,HI,A Frame,https://www.hipcamp.com/en-GB/land/california-hestia-magic-v1qhnz89,net_new_candidate
Rustic Resort at the Farm,,PA,A Frame,https://www.hipcamp.com/en-GB/land/pennsylvania-rustic-resort-at-the-farm-y0zhw065,net_new_candidate
Upper Shire Campsites Hudson Valley,Hillsdale,NY,A Frame,https://www.hipcamp.com/en-GB/land/new-york-upper-shire-campsites-hudson-valley-wz6hrwyl,net_new_candidate
