property_name,City,State,Job Number,location_context,resort_category,website_url,date_opened,operational_status,google_maps_url,matched_place_name,Google Review,Number of Reviews,Year of First Review,notes
Jubilee RV and Camping Park,New Orleans,LA,22-203A-06,"New Orleans, LA",RV Resort,,,,,Jubilee RV & Camp Park,,,,"No Google candidate passed verification (exact business name or street number+street+city+state). Nearest result: ""Jubilee RV & Camp Park"""
Justin Highland-Market Analysis,Fort Worth,TX,25-263A-08,"Fort Worth, TX",Other,,,,,,,,,Skipped Google lookup — property name looks like bad import or non-property
Kamper Kompanion RV Park,Litchfield,IL,22-229A-06,"Litchfield, IL",RV Resort,https://kamperkompanion.com/,,Open (OPERATIONAL),https://maps.google.com/?cid=6984713266514045769&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,Kamper Kompanion RV Park,4.6,318,2025,
Kentucky Downs RV Resort,Franklin,KY,24-125A-03,"Franklin, KY",RV Resort,,,,,The Mint Gaming Hall Kentucky Downs,,,,"No Google candidate passed verification (exact business name or street number+street+city+state). Nearest result: ""The Mint Gaming Hall Kentucky Downs"""
Kernel Farms,Goshen,NY,23-274A-10,"Goshen, NY",Glamping resort,,,,,Kelder's Farm,,,,"No Google candidate passed verification (exact business name or street number+street+city+state). Nearest result: ""Kelder's Farm"""
Kingdom Campground,Lyndonville,VT,19-107A-02,"Lyndonville, VT",RV Resort,https://kingdomcampground.com/,,Open (OPERATIONAL),https://maps.google.com/?cid=8563524881541247084&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,Kingdom Campground,4.8,121,2025,
Knights of the RV,Plantersville,TX,24-143A-03,"Plantersville, TX",RV Resort,,,,,Knights of the RV Park & Resort,,,,"No Google candidate passed verification (exact business name or street number+street+city+state). Nearest result: ""Knights of the RV Park & Resort"""
Komodo Springs Glamping Resort,Campton,KY,23-137A-03,"Campton, KY",Glamping resort,,,,,Komodo Springs,,,,"No Google candidate passed verification (exact business name or street number+street+city+state). Nearest result: ""Komodo Springs"""
Kootenai Creek,Stevensville,MT,25-137A-03,"Stevensville, MT",Glamping resort,,,,,Kootenai Creek Trail,,,,"No Google candidate passed verification (exact business name or street number+street+city+state). Nearest result: ""Kootenai Creek Trail"""
Lake Clinch RV Resort,Frostproof,FL,22-298A-09,"Frostproof, FL",RV Resort,,,,,Lake Clinch Resort,,,,"No Google candidate passed verification (exact business name or street number+street+city+state). Nearest result: ""Lake Clinch Resort"""
Lake Louise RV Resort,Bryon,IL,22-163A-03,"Bryon, IL",RV Resort,http://www.lakelouiservresort.com/,,Open (OPERATIONAL),https://maps.google.com/?cid=13836983787801225170&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,Lake Louise RV Resort,3.8,383,2025,
Lake Mason Campground,Briggsville,WI,24-118A-02,"Briggsville, WI",RV Resort,https://camplakemason.com/?utm_campaign=gmb,,Open (OPERATIONAL),https://maps.google.com/?cid=14391870786245931475&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,Lake Mason Campground,4.5,128,2025,
Lake Texoma Cabins,Kingston,OK,24-209A-07,"Kingston, OK",Glamping resort,,,,,,,,,No Google Places match for search query
Lakeshore Village RV Park,Madison,FL,23-277A-11,"Madison, FL",RV Resort,,,,,Ragans Family Campground,,,,"No Google candidate passed verification (exact business name or street number+street+city+state). Nearest result: ""Ragans Family Campground"""
Lakeside Hybrid RV Resort and Lakeside Commons,Tonganoxie,KS,24-210A-07,"Tonganoxie, KS",RV Resort,,,,,Lakeside Family Resort,,,,"No Google candidate passed verification (exact business name or street number+street+city+state). Nearest result: ""Lakeside Family Resort"""
Lakeside RV Resort,Tonganoxie,KS,17-182A-11,"Tonganoxie, KS",RV Resort,https://rjourney.com/park/la/lakeside/?utm_source=google&utm_medium=organic&utm_campaign=gbp_lakeside&utm_content=website,,Open (OPERATIONAL),https://maps.google.com/?cid=12898885816462111475&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,Lakeside RV Resort,4.6,754,2025,
Lanier's Campground,Surf City,NC,22-263A-08,"Surf City, NC",RV Resort,,,,,The Inlet at Lanier Pointe (Formerly Lanier's Campground),,,,"No Google candidate passed verification (exact business name or street number+street+city+state). Nearest result: ""The Inlet at Lanier Pointe (Formerly Lanier's Campground)"""
Lantern Oaks RV Resort,Fredericksburg,TX,24-196A-06,"Fredericksburg, TX",RV Resort,https://lanternoaks.com/,,Open (OPERATIONAL),https://maps.google.com/?cid=6912197495903087311&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,Lantern Oaks RV Resort,4.8,527,2025,
LaPorte Road RV Park,New Buffalo,MI,18-114A-03,"New Buffalo, MI",RV Resort,,,,,Judy's Motel & Campground,,,,"No Google candidate passed verification (exact business name or street number+street+city+state). Nearest result: ""Judy's Motel & Campground"""
Legacy Lane RV Resort,Brantley,AL,20-106A-01,"Brantley, AL",RV Resort,,,,,Legacy RV Resort,,,,"No Google candidate passed verification (exact business name or street number+street+city+state). Nearest result: ""Legacy RV Resort"""
Leisure Lake Membership Resort,Joliet,IL,19-144A-07,"Joliet, IL",RV Resort,http://www.leisurelakeresort.com/,,Open (OPERATIONAL),https://maps.google.com/?cid=1714367283314154867&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,Leisure Lake Membership Resort,3.9,251,2025,
Liberty Point,Norman,OK,23-281A-11,"Norman, OK",Glamping resort,,,,,Liberty Pointe,,,,"No Google candidate passed verification (exact business name or street number+street+city+state). Nearest result: ""Liberty Pointe"""
Llano Landing RV Resort,Llano,TX,20-318A-10,"Llano, TX",RV Resort & Glamping,,,,,Llano City Rv Park,,,,"No Google candidate passed verification (exact business name or street number+street+city+state). Nearest result: ""Llano City Rv Park"""
London Bridge RV Resort,Lake Havasu,AZ,19-112A-02,"Lake Havasu, AZ",RV Resort,,,,,London Bridge RV & Truck Accessories,,,,"No Google candidate passed verification (exact business name or street number+street+city+state). Nearest result: ""London Bridge RV & Truck Accessories"""
Long Creek RV Park,New Braunfels,TX,22-318A-10,"New Braunfels, TX",RV Resort,https://longcreekrvparktx.com/,,Open (OPERATIONAL),https://maps.google.com/?cid=15273288323285365733&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,Long Creek RV Park,4.4,13,2025,
Loop 363 RV Park,Temple,TX,20-231A-03,"Temple, TX",RV Resort,,,,,Belaire Junction RV Park,,,,"No Google candidate passed verification (exact business name or street number+street+city+state). Nearest result: ""Belaire Junction RV Park"""
Luray RV Resort & Campground on Shenandoah River,Luray,VA,24-160A-04,"Luray, VA",RV Resort,,,,,Luray RV Resort on Shenandoah River,,,,"No Google candidate passed verification (exact business name or street number+street+city+state). Nearest result: ""Luray RV Resort on Shenandoah River"""
Madrone Tree Hill,Camino,CA,20-356A-11,"Camino, CA",Glamping resort,https://www.madronetreehill.com/,,Open (OPERATIONAL),https://maps.google.com/?cid=15793802072703690977&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,Madrone Tree Hill,4.5,39,2020,
Manor Tiny Wildlife Resort,Manor,TX,20-332A-10,"Manor, TX",RV Resort,,,,,Rancho Moonrise,,,,"No Google candidate passed verification (exact business name or street number+street+city+state). Nearest result: ""Rancho Moonrise"""
Margaritaville RV Resort,Auburndale,FL,21-123A-04,"Auburndale, FL",RV Resort,,,,,Camp Margaritaville Auburndale,,,,"No Google candidate passed verification (exact business name or street number+street+city+state). Nearest result: ""Camp Margaritaville Auburndale"""
Marty And Brandon Palmer,Litchfield,IL,25-266A-08,"Litchfield, IL",RV Resort,,,,,,,,,Skipped Google lookup — property name looks like bad import or non-property
Mary Simmons-FS Add-on,Kingston,OK,24-209B-07,"Kingston, OK",Glamping resort,,,,,,,,,Skipped Google lookup — property name looks like bad import or non-property
MayaVita,,VA,25-296A-09,VA,Other,,,,,,,,,No Google Places match for search query
Mike Sullivan,Cloverdale,IN,25-211A-06,"Cloverdale, IN",RV Resort,,,,,,,,,Skipped Google lookup — property name looks like bad import or non-property
Moab Glamping Caves,Moab,UT,23-191A-06,"Moab, UT",Glamping resort,,,,,Moab RV & Glamping Resort,,,,"No Google candidate passed verification (exact business name or street number+street+city+state). Nearest result: ""Moab RV & Glamping Resort"""
Monarch Resort,Horseshoe Bay,TX,24-144A-03,"Horseshoe Bay, TX",RV Resort & Glamping,,,,,Horseshoe Bay Resort,,,,"No Google candidate passed verification (exact business name or street number+street+city+state). Nearest result: ""Horseshoe Bay Resort"""
Moore Haven Lake Estates,West Palm Beach,FL,ARG-moore-haven-lake-estates-west-palm-beach-fl-fl,"West Palm Beach, FL",RV Resort,,,,,Palm Lake Estates,,,,"No Google candidate passed verification (exact business name or street number+street+city+state). Nearest result: ""Palm Lake Estates"""
Mountain View RV Resort,Salome,AZ,20-325A-11,"Salome, AZ",RV Resort,,,,,Morenga Palms RV Park,,,,"No Google candidate passed verification (exact business name or street number+street+city+state). Nearest result: ""Morenga Palms RV Park"""
Neon Ranch RV Resort,Gold Canyon,AZ,21-122A-04,"Gold Canyon, AZ",RV Resort,,,,,Gold Canyon Golf & RV Resort,,,,"No Google candidate passed verification (exact business name or street number+street+city+state). Nearest result: ""Gold Canyon Golf & RV Resort"""
New River City Retreat,Montgomery County,VA,25-126A-02,"Montgomery County, VA",Glamping resort,,,,,New River Retreat,,,,"No Google candidate passed verification (exact business name or street number+street+city+state). Nearest result: ""New River Retreat"""
New River Ridge,Grassy Creek,NC,24-180A-06,"Grassy Creek, NC",Glamping resort,https://www.newriverridge.com/,,Open (OPERATIONAL),https://maps.google.com/?cid=9080232718993589157&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,New River Ridge,5,3,2026,
Nickajack Shores RV Resort,Jasper,TN,24-109A-01,"Jasper, TN",RV Resort,,,,,Hales Bar Marina & Resort,,,,"No Google candidate passed verification (exact business name or street number+street+city+state). Nearest result: ""Hales Bar Marina & Resort"""
Norman South RV Resort,,OK,23-281A-09,OK,Other,,,,,RB Park,,,,"No Google candidate passed verification (exact business name or street number+street+city+state). Nearest result: ""RB Park"""
Observer Ranch,Penrose,CO,23-104A-01,"Penrose, CO",RV Resort & Glamping,https://observerranch.com/,,Open (OPERATIONAL),https://maps.google.com/?cid=13990724324927005558&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,Observer Ranch,5,155,2025,
Ocean Club Luxury RV Destination,St. Augustine,FL,24-198A-06,"St. Augustine, FL",RV Resort,,,,,Ocean Grove RV Resort - St. Augustine,,,,"No Google candidate passed verification (exact business name or street number+street+city+state). Nearest result: ""Ocean Grove RV Resort - St. Augustine"""
Ocean Club RV Park,,FL,23-196A-06,FL,Other,,,,,Ocean Grove RV Resort - St. Augustine,,,,"No Google candidate passed verification (exact business name or street number+street+city+state). Nearest result: ""Ocean Grove RV Resort - St. Augustine"""
Ocean Springs Island RV Resort,Ocean Springs,,23-166A-05,Ocean Springs,RV Resort,,,,,Davis Bayou Campground,,,,"No Google candidate passed verification (exact business name or street number+street+city+state). Nearest result: ""Davis Bayou Campground"""
Old Trails Bridge RV Resort,Topock,AZ,23-194A-06,"Topock, AZ",RV Resort,,,,,Desert View RV Resort,,,,"No Google candidate passed verification (exact business name or street number+street+city+state). Nearest result: ""Desert View RV Resort"""
Open Air Resort,Harker Heights,TX,19-123A-04,"Harker Heights, TX",RV Resort,,,,,Open Air RV Resort- Harker Heights,,,,"No Google candidate passed verification (exact business name or street number+street+city+state). Nearest result: ""Open Air RV Resort- Harker Heights"""
Open Air Resorts - Spicewood,Travis County,TX,25-256A-07,"Travis County, TX",Glamping resort,,,,,Open Air Spicewood,,,,"No Google candidate passed verification (exact business name or street number+street+city+state). Nearest result: ""Open Air Spicewood"""
Open Sky Zion,Virgin,UT,24-182A-06,"Virgin, UT",Glamping resort,https://www.stayopensky.com/,,Open (OPERATIONAL),https://maps.google.com/?cid=12689529135149179060&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,Open Sky Zion,5,336,2026,
Peaceful Valley Ranch,Idaho Springs,CO,22-306A-10,"Idaho Springs, CO",RV Resort,http://eventsatpvr.com/,,Open (OPERATIONAL),https://maps.google.com/?cid=2037823473908834024&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,Peaceful Valley Ranch,4.3,80,2024,
Pegasus Landing,Blairsville,GA,ARG-pegasus-landing-blairsville-ga-ga,"Blairsville, GA",RV Resort,,,Unknown,https://maps.google.com/?cid=8017050850334226980&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,Pegasus Landing,,,,
Pelican Point RV Park,Plaquemine,LA,18-188A-12,"Plaquemine, LA",RV Resort,http://www.pelicanpointrv.com/,,Open (OPERATIONAL),https://maps.google.com/?cid=6760355062432179456&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,Pelican Point RV Park,4.1,242,2023,
Peralta Pass RV Resort,Queen Valley,AZ,20-270A-01,"Queen Valley, AZ",RV Resort,,,,,"Palo Verde RV Park, LLC",,,,"No Google candidate passed verification (exact business name or street number+street+city+state). Nearest result: ""Palo Verde RV Park, LLC"""
Pinetop RV Resort,Pinetop-Lakeside,AZ,19-168A-09,"Pinetop-Lakeside, AZ",RV Resort,,,,,Hon-Dah RV Park,,,,"No Google candidate passed verification (exact business name or street number+street+city+state). Nearest result: ""Hon-Dah RV Park"""
Pioneer RV Park,Port Aransas,TX,23-183A-05,"Port Aransas, TX",RV Resort,,,,,Pioneer RV Beach Resort,,,,"No Google candidate passed verification (exact business name or street number+street+city+state). Nearest result: ""Pioneer RV Beach Resort"""
Port of Olympia RV Resort,Olympia,WA,19-219A-12,"Olympia, WA",RV Resort,,,,,Lost Lake RV Resort,,,,"No Google candidate passed verification (exact business name or street number+street+city+state). Nearest result: ""Lost Lake RV Resort"""
Post Oak Creek RV Resort,Elm Mott,TX,19-185A-10,"Elm Mott, TX",RV Resort & Glamping,,,,,Oak Creek RV Park,,,,"No Google candidate passed verification (exact business name or street number+street+city+state). Nearest result: ""Oak Creek RV Park"""
Prospect Lake Park,North Egremont,MA,23-129B-03,"North Egremont, MA",Glamping resort,,,,,Prospect Lake Road,,,,"No Google candidate passed verification (exact business name or street number+street+city+state). Nearest result: ""Prospect Lake Road"""
Purple Sage RV Resort,Soap Lake,WA,20-107A-01,"Soap Lake, WA",RV Resort,,,,,Soap Lake Resort RV Park,,,,"No Google candidate passed verification (exact business name or street number+street+city+state). Nearest result: ""Soap Lake Resort RV Park"""
Quantum Space Resorts (Sedona),Cottonwood,AZ,25-310A-10,"Cottonwood, AZ",Glamping resort,,,,,Cedars Resort,,,,"No Google candidate passed verification (exact business name or street number+street+city+state). Nearest result: ""Cedars Resort"""
Ragged Mountain RV Resort,Danbury,NH,20-245A-05,"Danbury, NH",RV Resort & Glamping,,,,,Ragged Mountain Resort,,,,"No Google candidate passed verification (exact business name or street number+street+city+state). Nearest result: ""Ragged Mountain Resort"""
Ray Roberts Marina and RV Park,Sanger,TX,22-273A-08,"Sanger, TX",RV Resort,,,,,Ray Roberts Lake State Park,,,,"No Google candidate passed verification (exact business name or street number+street+city+state). Nearest result: ""Ray Roberts Lake State Park"""
Real Tejas RV Resort,Kyle,TX,21-322A-12,"Kyle, TX",RV Resort,,,Open (OPERATIONAL),https://maps.google.com/?cid=13533407176948643762&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,Real Tejas RV Resort,,,,
Rendezvous Resort,Breckenridge,CO,25-181A-04,"Breckenridge, CO",Glamping resort,,,,,Grand Timber Lodge,,,,"No Google candidate passed verification (exact business name or street number+street+city+state). Nearest result: ""Grand Timber Lodge"""
Rights Appraised,Gulfport,MS,23-207A-07,"Gulfport, MS",Glamping resort,,,,,,,,,Skipped Google lookup — property name looks like bad import or non-property
Rising Sun Ridge,Rising Fawn,GA,22-164A-04,"Rising Fawn, GA",Glamping resort,,,,,Rising Fawn Gardens,,,,"No Google candidate passed verification (exact business name or street number+street+city+state). Nearest result: ""Rising Fawn Gardens"""
River Beach Resort,Mays Landing,NJ,22-113A-03,"Mays Landing, NJ",RV Resort,,,,,River Beach RV Resort,,,,"No Google candidate passed verification (exact business name or street number+street+city+state). Nearest result: ""River Beach RV Resort"""
River Dreamers RV Park,Ehrenberg,AZ,21-311A-12,"Ehrenberg, AZ",RV Resort,,,,,River Dreamers RV Park - Under Construction - Opening soon,,,,"No Google candidate passed verification (exact business name or street number+street+city+state). Nearest result: ""River Dreamers RV Park - Under Construction - Opening soon"""
Riverbend Glamping Resort,Gallatin Gateway,MT,19-214A-12,"Gallatin Gateway, MT",Glamping resort,,,,,Cinnamon Lodge & Adventures,,,,"No Google candidate passed verification (exact business name or street number+street+city+state). Nearest result: ""Cinnamon Lodge & Adventures"""
Riverview/Stateline RV Resort,Spokane County,WA,19-133A-06,"Spokane County, WA",RV Resort,,,,,Riverview RV Park,,,,"No Google candidate passed verification (exact business name or street number+street+city+state). Nearest result: ""Riverview RV Park"""
Riverwalk RV Resort,Astor,FL,20-340A-11,"Astor, FL",RV Resort,,,,,Riverwalk Landing Cottages & RV Park,,,,"No Google candidate passed verification (exact business name or street number+street+city+state). Nearest result: ""Riverwalk Landing Cottages & RV Park"""
Roaring Point Campground,Nanticoke,MD,22-110A-03__2,"Nanticoke, MD",RV Resort,http://www.roaringpoint.com/,,Open (OPERATIONAL),https://maps.google.com/?cid=2287013869141137648&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,Roaring Point Campground,4.6,207,2024,
Rock Quarry RV Resort,San Leandro,CA,24-103A-01,"San Leandro, CA",RV Resort,,,,,Dumbarton Quarry Campground on the Bay,,,,"No Google candidate passed verification (exact business name or street number+street+city+state). Nearest result: ""Dumbarton Quarry Campground on the Bay"""
Rock Springs RV Resort,Yacapai County,AZ,23-149A-04,"Yacapai County, AZ",RV Resort,http://www.rockspringsrvresort.com/?utm_source=gbp&utm_medium=organic&utm_campaign=main_website,,Open (OPERATIONAL),https://maps.google.com/?cid=17388568390575084802&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,Rock Springs RV Resort,5,1,2025,
Rooted in Retreats,,CO,25-177A-04,CO,Glamping resort,,,,,Rocky Mountain Ecodharma Retreat Center,,,,"No Google candidate passed verification (exact business name or street number+street+city+state). Nearest result: ""Rocky Mountain Ecodharma Retreat Center"""
Royal York Golf Course,Armstrong BC,"BC, CANADA",19-150A-09,"Armstrong BC, BC, CANADA",RV Resort,,,Permanently closed,https://maps.google.com/?cid=10617512174289822151&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,Royal York Golf Course,4.3,144,2019,
Rustic Roost RV Resort & Self-Storage Facility,Gretna,FL,24-106A-01,"Gretna, FL",RV Resort,,,,,"Rustic Oaks RV Park, LLC",,,,"No Google candidate passed verification (exact business name or street number+street+city+state). Nearest result: ""Rustic Oaks RV Park, LLC"""
RV Lakefront Resort,Ardmore,OK,21-121A-04,"Ardmore, OK",RV Resort,,,,,By The Lake RV Park/Resort,,,,"No Google candidate passed verification (exact business name or street number+street+city+state). Nearest result: ""By The Lake RV Park/Resort"""
RV Park at Seabrook,Pacific Beach,WA,26-134A-03,"Pacific Beach, WA",RV Resort,,,,,Pacific Beach State Park,,,,"No Google candidate passed verification (exact business name or street number+street+city+state). Nearest result: ""Pacific Beach State Park"""
Shawnee Bend Recreation Area,Warsaw,MO,20-347A-11,"Warsaw, MO",RV Resort,,,,,Shawnee Bend Recreation Area Beach,,,,"No Google candidate passed verification (exact business name or street number+street+city+state). Nearest result: ""Shawnee Bend Recreation Area Beach"""
"Simmons Bluff Road
Woodbine",,CO,23-303A-12,CO,Glamping resort,,,,,,,,,Skipped Google lookup — property name looks like bad import or non-property
Sindey Park RV Park,Port Orchard,WA,20-118A-02,"Port Orchard, WA",RV Resort,,,,,Sidney Park RV Park,,,,"No Google candidate passed verification (exact business name or street number+street+city+state). Nearest result: ""Sidney Park RV Park"""
Skokomish Park at Lake Cushman,Mason County,WA,25-150A-03,"Mason County, WA",Glamping resort,https://www.skokomishtourism.com/skokomish-park,,Open (OPERATIONAL),https://maps.google.com/?cid=999977286916388677&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,Skokomish Park at Lake Cushman,4.4,531,2025,
Sky Diamonds Glamping/RV Resort,,CO,25-169A-04,CO,Glamping resort,,,,,,,,,Skipped Google lookup — property name looks like bad import or non-property
Sojourner Glamping Resort,Stanardsville,VA,23-138A-03,"Stanardsville, VA",Glamping resort,,,,,"Postcard Cabins Shenandoah, Outdoor Collection by Marriott Bonvoy",,,,"No Google candidate passed verification (exact business name or street number+street+city+state). Nearest result: ""Postcard Cabins Shenandoah, Outdoor Collection by Marriott Bonvoy"""
Sonora Lake RV Resort,Gila Bend,AZ,17-136A-06,"Gila Bend, AZ",RV Resort,,,,,Sonoran Desert RV Park,,,,"No Google candidate passed verification (exact business name or street number+street+city+state). Nearest result: ""Sonoran Desert RV Park"""
South Canyon Farms,Twin Falls,ID,22-291A-09,"Twin Falls, ID",RV Resort,,,,,Hagerman Canyon Farms,,,,"No Google candidate passed verification (exact business name or street number+street+city+state). Nearest result: ""Hagerman Canyon Farms"""
South Gate's Big Rig RV Resort,Layton,UT,20-313A-09,"Layton, UT",RV Resort,,,,,Valley View RV Resort,,,,"No Google candidate passed verification (exact business name or street number+street+city+state). Nearest result: ""Valley View RV Resort"""
Southern Escape RV Resort,Oatmeal,TX,19-207A-11,"Oatmeal, TX",RV Resort,,,,,Southern Escapes RV Park,,,,"No Google candidate passed verification (exact business name or street number+street+city+state). Nearest result: ""Southern Escapes RV Park"""
Spencer RV Park,,TN,26-107A-01,TN,Other,,,,,Spencer Cove RV Park,,,,"No Google candidate passed verification (exact business name or street number+street+city+state). Nearest result: ""Spencer Cove RV Park"""
Sportif Glamping Resort,Fort Myers,FL,23-204A-07,"Fort Myers, FL",Glamping resort,,,,,Timberline Fort Myers,,,,"No Google candidate passed verification (exact business name or street number+street+city+state). Nearest result: ""Timberline Fort Myers"""
St Charles/Bear Lake Glamping Resort,St Charles,ID,23-174A-05,"St Charles, ID",Glamping resort,,,,,Sun Outdoors Garden City Utah,,,,"No Google candidate passed verification (exact business name or street number+street+city+state). Nearest result: ""Sun Outdoors Garden City Utah"""
St. Ives RV Park,Alvin,TX,17-195A-12,"Alvin, TX",RV Resort,,,,,St. Ives RV Resort,,,,"No Google candidate passed verification (exact business name or street number+street+city+state). Nearest result: ""St. Ives RV Resort"""
Starlite Classic Campground,Cañon City,CO,23-244A-09,"Cañon City, CO",Glamping resort,https://starlitevintageresort.com/,,Open (OPERATIONAL),https://maps.google.com/?cid=11040832201394104740&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,Starlite Vintage Resort,4.7,249,2025,
Starry Skies RV Park,Sierra Vista,AZ,23-222B-08,"Sierra Vista, AZ",Glamping resort,,,,,Sierra Vista RV Park,,,,"No Google candidate passed verification (exact business name or street number+street+city+state). Nearest result: ""Sierra Vista RV Park"""
Sterling Federal Bank,Ottawa,IL,25-279A-08,"Ottawa, IL",Glamping resort,,,,,,,,,Skipped Google lookup — property name looks like bad import or non-property
Stinson RV Park,Campbell,TX,20-230A-03,"Campbell, TX",RV Resort,,,,,Stinson RV & Tiny Home Resort,,,,"No Google candidate passed verification (exact business name or street number+street+city+state). Nearest result: ""Stinson RV & Tiny Home Resort"""
Sugar Hill RV Ranch,Anna,TX,19-204A-11,"Anna, TX",RV Resort,,,,,Sugar Hill RV Resort,,,,"No Google candidate passed verification (exact business name or street number+street+city+state). Nearest result: ""Sugar Hill RV Resort"""
SummaryResort NameBlack Creek RV ParkReso,Brentwood,TN,23-227A-08,"Brentwood, TN",Glamping resort,,,,,,,,,Skipped Google lookup — property name looks like bad import or non-property
SummaryResort NameBurleson RV ParkResort,Addison,TX,23-165A-05,"Addison, TX",Glamping resort,,,,,,,,,Skipped Google lookup — property name looks like bad import or non-property
SummaryResort NameCalaveras RV ParkResort,Addison,TX,23-164A-05,"Addison, TX",Glamping resort,,,,,,,,,Skipped Google lookup — property name looks like bad import or non-property
SummaryResort NameFranklin Canyon RV Reso,Copperopolis,CA,23-160A-04,"Copperopolis, CA",Glamping resort,,,,,,,,,Skipped Google lookup — property name looks like bad import or non-property
SummaryResort NamePitmaster RV ParkResort,Boerne,TX,23-140A-03,"Boerne, TX",Glamping resort,,,,,,,,,Skipped Google lookup — property name looks like bad import or non-property
SummaryResort NameWindmill Oasis RV Campg,Vernon,TX,23-268A-10,"Vernon, TX",Glamping resort,,,,,,,,,Skipped Google lookup — property name looks like bad import or non-property
Sundowner RV Park,Princeton,TX,19-163A-08,"Princeton, TX",RV Resort,https://sundownerrvpark.com/,,Open (OPERATIONAL),https://maps.google.com/?cid=8913815920275278315&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,Sundowner RV Park,4.7,119,2023,
Sunsets RV Park,Austin,TX,21-157A-06,"Austin, TX",RV Resort,,,,,Sunset RV Resort,,,,"No Google candidate passed verification (exact business name or street number+street+city+state). Nearest result: ""Sunset RV Resort"""
Sylvan Lake,Dutchess County,NY,26-100A-01,"Dutchess County, NY",Glamping resort,,,Unknown,https://maps.google.com/?cid=18080024065140110221&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,Sylvan Lake,,,,
Table Rock Canyon,Hollister,MO,19-135A-06,"Hollister, MO",RV Resort,,,,,Lost Canyon Cave and Nature Trail,,,,"No Google candidate passed verification (exact business name or street number+street+city+state). Nearest result: ""Lost Canyon Cave and Nature Trail"""
Tall Sycamore Campground,Logansport,IN,20-310B-09,"Logansport, IN",RV Resort,http://www.tallsycamorecampground.com/,,Open (OPERATIONAL),https://maps.google.com/?cid=722989792935376761&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,Tall Sycamore Campground,4.3,157,2025,
Tallahassee West Midway RV Resort,Tallahassee,FL,21-135A-05,"Tallahassee, FL",RV Resort,,,,,Tallahassee RV Park,,,,"No Google candidate passed verification (exact business name or street number+street+city+state). Nearest result: ""Tallahassee RV Park"""
"TBD-Ansted, WV",Ansted,WV,23-309A-12,"Ansted, WV",Glamping resort,,,,,,,,,Skipped Google lookup — property name looks like bad import or non-property
TBH-Hub Basecamp,Pisgah Forest,NC,23-312A-12,"Pisgah Forest, NC",Glamping resort,,,,,,,,,Skipped Google lookup — property name looks like bad import or non-property
