id,property_id,old_total,new_total,property_name,action
11089,f4322829-398b-4f7a-a67e-855ffb749166,6,10,Treelodge,update
11172,fb5e9b90-1dd0-4697-bf42-475fec4d434b,,8,Glamping Canonici di San Marco,update
11147,129dc18d-a973-435f-8f6a-1d09e04ef4c3,10,15,Nature Lodge,update
11186,511a47da-2c7e-4dd2-b0d1-1246b6b7e948,,8,Soul Glamping,update
11435,898c94c5-3997-4e6e-9715-e43d71ee78a0,,9,River Yurt Village,update
11436,1e2bbd94-4bcd-4ad6-8dcd-7f3d9106b6e5,,6,Basecamp Resort,update
11437,59ed4e96-43d0-4ba2-9949-bb8c68dde7a0,,2,The Disco Ranch,update
11438,97fb75b6-f1a3-4f12-896a-71989a64690a,,12,Rio Bella Resort,update
11442,f4c837a6-af5a-4dfe-acb4-7d616f4e37cd,,12,Northshore Resort on Buffalo Pound Lake,update
11443,f87309ec-47ee-4840-83a0-a3dadcd61ce8,,12,Saskatchewan Landing Provincial Park,update
11444,a2d9b8bf-1e50-4c61-89c0-9d5bf5d4693a,,120,Charmed Resorts — Crowsnest Pass,update
11445,a2d9b8bf-1e50-4c61-89c0-9d5bf5d4693a,,120,Charmed Resorts — Crowsnest Pass,update
12371,a2d9b8bf-1e50-4c61-89c0-9d5bf5d4693a,,120,Charmed Resorts — Crowsnest Pass,update
12372,a2d9b8bf-1e50-4c61-89c0-9d5bf5d4693a,,120,Charmed Resorts — Crowsnest Pass,update
12373,a2d9b8bf-1e50-4c61-89c0-9d5bf5d4693a,,120,Charmed Resorts — Crowsnest Pass,update
12374,a2d9b8bf-1e50-4c61-89c0-9d5bf5d4693a,,120,Charmed Resorts — Crowsnest Pass,update
12375,a2d9b8bf-1e50-4c61-89c0-9d5bf5d4693a,,120,Charmed Resorts — Crowsnest Pass,update
11446,61ce8561-7eed-4eba-8fb7-998cf60d7233,,7,Collinswood Retreat,update
11447,a4287acb-eb85-4833-b738-754ad62a6df8,,6,Rough Diamond Ranch Alberta,update
