id,property_name,rate,source,evidence_url,action
11591,Boonies Farm,72,tavily,https://www.booniesfarm.com/glamping,update
11622,Sou'wester Lodge,120,tavily,https://maps.campendium.com/us/seaview-wa/accommodation/souwester-lodge,update
12289,Dunya Camp,200,tavily,https://www.facebook.com/dunyacamp?locale=fo_FO,update
12947,Hinata Mountainside Resort,400,firecrawl,https://www.hinataretreat.com/,update
11532,Timberline Glamping at Williamsburg,55,tavily,https://www.hipcamp.com/en-US/d/united-states/virginia/williamsburg/camping/glamping,update
11533,Timberline Glamping at Williamsburg,55,tavily,https://www.hipcamp.com/en-US/d/united-states/virginia/williamsburg/camping/glamping,update
11534,Timberline Glamping at Williamsburg,55,tavily,https://www.hipcamp.com/en-US/d/united-states/virginia/williamsburg/camping/glamping,update
